file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230101_20	100404	200406.0	105.0	0.4	51.6	51.2	52.5	-2.1	8.0	4.9	1	0	0	0	0	0
20230101_20	100483	200484.0	105.0	0.3	36.0	35.5	39.8	-3.8	15.0	5.4	1	0	0	0	0	0
20230101_20	100511	200512.0	105.0	0.3	15.8	15.4	56.6	-4.1	17.0	4.4	1	0	0	0	0	0
20230101_20	100536	200537.0	105.0	0.3	27.2	26.8	76.2	-3.1	14.0	3.9	0	0	0	0	0	0
20230101_20	100603	200604.0	86.0	0.5	55.0	54.4	20.2	1.8	11.0	7.8	1	0	0	0	1	0
20230101_20	100671	200672.0	86.0	0.3	10.2	9.9	15.5	-0.6	6.0	5.0	0	1	0	0	0	0
20230101_21	100029	200030.0	90.0	0.4	10.7	10.3	9.9	-3.1	8.0	4.8	0	1	0	0	0	0
20230101_21	100031	200035.0	90.0	0.4	22.6	22.3	60.2	3.1	5.0	8.4	0	0	0	0	1	0
20230101_21	100032	200034.0	90.0	0.3	57.3	56.9	103.5	3.3	5.0	7.3	1	0	0	0	1	0
20230101_21	100092	200094.0	90.0	0.3	12.6	12.3	6.7	1.0	15.0	3.9	0	1	0	0	1	0
20230101_21	100093	200096.0	90.0	0.2	51.4	51.0	34.4	2.7	15.0	4.8	0	0	0	0	1	0
20230101_21	100133	200134.0	90.0	0.3	48.8	48.5	20.4	-1.4	11.0	4.0	0	1	0	0	0	0
20230101_21	100220	200222.0	82.0	0.4	36.3	35.9	37.1	-4.2	16.0	4.3	0	1	0	0	0	0
20230101_21	100221	200223.0	82.0	0.3	35.2	34.9	50.3	-3.0	16.0	4.4	1	0	0	0	0	0
20230101_21	100234	200235.0	82.0	0.3	49.0	48.8	16.6	1.0	11.0	6.9	0	0	0	0	1	0
20230101_21	100264	200266.0	82.0	0.3	2.4	2.0	13.1	-4.7	8.0	4.5	0	0	0	0	0	0
20230101_21	100281	200282.0	82.0	0.3	6.3	6.0	11.9	-0.3	9.0	4.0	0	1	0	0	0	0
20230101_21	100350	200353.0	93.0	0.3	44.0	43.7	7.6	3.1	11.0	8.5	0	0	0	0	1	0
20230101_21	100454	200457.0	93.0	0.3	8.9	8.6	34.8	-3.1	10.0	3.7	0	0	0	0	0	0
20230101_21	100549	200550.0	71.0	0.4	18.3	18.0	22.3	-5.2	6.0	5.4	1	0	0	0	0	0
20230101_22	100020	200021.0	93.0	0.3	57.3	56.8	22.0	3.3	10.0	4.8	0	1	0	0	1	0
20230101_22	100084	200087.0	93.0	0.3	20.6	20.5	40.4	0.5	7.0	5.5	1	0	0	0	1	0
20230101_22	100085	200086.0	93.0	0.3	22.2	21.9	39.9	0.9	7.0	3.5	0	1	0	0	1	0
20230101_22	100207	200209.0	69.0	0.3	43.5	43.1	3.9	-2.2	15.0	3.9	1	0	0	0	0	0
20230101_22	100210	200212.0	69.0	0.3	3.9	3.6	39.6	1.7	10.0	5.9	1	0	0	0	1	0
20230101_22	100319	200320.0	69.0	0.3	16.2	15.9	32.0	-2.5	8.0	4.1	0	1	0	0	0	0
20230101_22	100356	200357.0	79.0	0.3	17.9	17.4	9.1	1.1	14.0	6.1	0	0	0	0	1	0
20230101_22	100386	200387.0	79.0	0.2	96.8	96.5	6.8	1.1	13.0	6.2	0	1	0	0	1	0
20230101_22	100580	200582.0	68.0	0.3	9.9	9.6	28.1	2.5	6.0	7.3	1	0	0	0	1	0
20230101_23	100170	200171.0	59.0	0.3	37.4	37.0	38.6	2.7	5.0	5.6	0	0	0	0	1	0
20230101_23	100218	200219.0	55.0	0.2	41.7	41.4	27.8	1.6	12.0	5.5	0	1	0	0	1	0
20230101_23	100300	200302.0	41.0	0.3	4.5	4.1	12.0	-1.1	8.0	4.5	1	0	0	0	0	0
20230101_23	100309	200310.0	41.0	0.3	158.6	158.2	19.9	-0.7	4.0	3.8	0	1	0	0	0	0
20230102_00	100016	200018.0	43.0	0.4	114.2	113.9	4.7	1.8	7.0	8.0	1	0	0	0	1	0
20230102_00	100062	200063.0	43.0	0.4	148.0	147.7	313.8	-5.0	5.0	5.0	1	0	0	0	0	0
20230102_00	100210	200211.0	40.0	0.3	33.2	32.8	225.0	-1.1	7.0	6.6	0	1	0	0	0	0
20230102_03	100049	200050.0	22.0	0.2	38.9	38.6	7.0	-4.1	9.0	3.9	0	0	0	0	0	0
20230102_03	100051	200052.0	22.0	0.3	7.0	6.8	181.4	2.9	4.0	5.4	0	0	0	0	1	0
20230102_03	100106	200107.0	16.0	0.3	125.2	124.9	166.3	0.4	3.0	3.7	1	0	0	0	1	0
20230102_04	100020	200021.0	19.0	0.3	77.9	77.5	495.9	1.0	5.0	6.3	0	1	0	0	1	0
20230102_04	100028	200029.0	19.0	0.5	86.6	86.2	365.9	0.6	2.0	4.1	0	0	0	0	1	0
20230102_04	100097	200098.0	20.0	0.5	331.5	331.2	40.9	-3.1	7.0	4.8	0	0	0	0	0	0
20230102_04	100109	200110.0	25.0	0.3	125.9	125.6	62.4	-3.5	4.0	4.3	0	1	0	0	0	0
20230102_05	100015	200017.0	21.0	0.3	6.9	6.6	6.7	0.1	4.0	7.0	1	0	0	0	1	0
20230102_05	100018	200019.0	21.0	0.4	142.7	142.2	85.2	-4.3	4.0	5.0	0	1	0	0	0	0
20230102_05	100025	200026.0	21.0	0.4	45.6	45.2	170.6	2.9	4.0	7.3	0	1	0	0	1	0
20230102_05	100038	200039.0	21.0	0.3	53.0	52.6	245.5	1.0	3.0	4.3	0	0	0	0	1	0
20230102_05	100217	200218.0	31.0	0.3	45.8	45.4	48.5	0.0	7.0	4.2	0	0	1	0	0	0
20230102_05	100227	200228.0	31.0	0.4	213.7	213.3	36.8	-2.5	3.0	6.0	0	1	0	0	0	0
20230102_06	100019	200021.0	43.0	0.3	38.5	38.0	9.6	-0.9	9.0	3.9	1	0	0	0	0	0
20230102_06	100020	200022.0	43.0	0.3	67.8	67.3	7.7	1.8	6.0	6.1	0	1	0	0	1	0
20230102_06	100110	200111.0	48.0	1.6	50.6	50.1	167.1	-0.1	4.0	10.1	0	1	1	0	0	0
20230102_06	100154	200155.0	48.0	0.3	19.3	18.9	26.2	-1.7	13.0	4.2	0	1	0	0	0	0
20230102_06	100256	200257.0	51.0	0.3	25.7	25.4	32.3	-2.5	11.0	4.4	0	0	0	0	0	0
