file	adv	stop	match	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230327_0700_1400	101297	201298.0	1.0	227.0	0.4	16.7	16.4	24.0	-3.0	23.0	4.0	0	1	0	0	0	0
20230327_0700_1400	101414	201415.0	1.0	227.0	0.2	19.3	19.0	13.6	-3.3	30.0	3.3	1	0	0	0	0	0
20230327_0700_1400	101416	201417.0	1.0	227.0	0.8	11.0	10.7	32.8	1.1	24.0	6.9	0	1	0	0	1	0
20230327_0700_1400	101453	201457.0	1.0	227.0	0.4	42.6	42.2	67.7	-1.7	24.0	4.6	0	1	0	0	0	0
20230327_0700_1400	101455	201456.0	1.0	227.0	0.1	5.8	5.6	7.3	-1.0	24.0	3.0	1	0	0	0	0	0
20230327_0700_1400	101526	201527.0	1.0	213.0	0.4	16.0	15.6	47.1	-3.6	39.0	4.5	1	0	0	0	0	0
20230327_0700_1400	101578	201579.0	1.0	213.0	0.3	14.3	14.0	6.7	-0.1	31.0	3.9	1	0	1	0	0	0
20230327_0700_1400	101667	201668.0	1.0	213.0	0.2	61.5	61.1	33.4	-0.8	17.0	3.3	0	1	0	0	0	0
20230327_0700_1400	101716	201717.0	1.0	213.0	0.3	31.4	30.7	58.4	3.0	23.0	6.3	1	0	0	0	1	0
20230327_0700_1400	101865	201867.0	1.0	213.0	0.4	40.2	39.5	51.7	0.5	23.0	5.9	0	1	0	0	1	0
20230327_0700_1400	101959	201961.0	1.0	204.0	0.3	18.8	18.6	9.3	-2.2	32.0	3.9	1	0	0	0	0	0
20230327_0700_1400	102030	202031.0	1.0	204.0	0.5	24.6	23.6	51.5	2.2	32.0	5.5	0	0	0	0	1	0
20230327_0700_1400	102409	202410.0	1.0	172.0	0.2	17.9	17.6	73.1	-0.9	33.0	3.5	1	0	0	0	0	0
20230327_0700_1400	102439	202440.0	1.0	172.0	0.9	9.8	9.5	13.2	-4.9	16.0	5.5	0	1	0	0	0	0
20230327_0700_1400	102670	202671.0	1.0	189.0	1.2	37.9	37.5	18.1	-1.1	36.0	8.5	0	1	1	0	0	0
20230327_0700_1400	102885	202887.0	1.0	189.0	1.1	22.9	22.5	2.7	0.4	13.0	5.7	0	0	0	0	1	0
20230327_0700_1400	102886	202887.0	0.0	189.0	0.4	2.7	1.6	13.1	3.1	13.0	3.0	0	0	0	0	1	0
20230327_0700_1400	102905	202906.0	1.0	146.0	0.2	55.5	55.2	57.5	-1.8	13.0	3.0	1	0	0	0	0	0
20230327_0700_1400	103079	203080.0	1.0	146.0	0.7	28.0	27.2	48.9	0.8	11.0	5.1	0	0	0	0	1	0
20230327_0700_1400	103123	203124.0	1.0	146.0	0.3	33.7	33.4	47.5	-2.5	15.0	3.6	1	0	0	0	0	0
20230327_0700_1400	103172	203173.0	1.0	163.0	0.3	36.6	36.1	17.2	-0.7	18.0	3.7	1	0	0	0	0	0
20230327_0700_1400	103237	203239.0	1.0	163.0	0.3	48.6	46.5	5.7	-3.8	22.0	4.0	1	0	0	0	0	0
20230327_0700_1400	103240	203243.0	1.0	163.0	0.3	25.5	23.6	1.5	0.4	21.0	3.6	0	1	0	0	1	0
20230327_0700_1400	103240	203244.0	0.0	163.0	0.3	25.5	23.6	1.5	0.4	21.0	7.4	0	1	0	0	1	0
20230327_0700_1400	103241	203244.0	1.0	163.0	0.3	1.5	1.2	29.5	1.9	21.0	5.9	0	1	0	0	1	0
20230327_0700_1400	103326	203328.0	1.0	163.0	0.4	23.9	23.5	2.4	-4.6	15.0	4.8	1	0	0	0	0	0
20230327_0700_1400	103592	203594.0	1.0	178.0	0.4	6.9	6.5	43.8	-1.6	33.0	4.3	0	1	0	0	0	0
20230327_0700_1400	103593	203595.0	1.0	178.0	0.4	8.8	8.4	48.6	1.5	17.0	7.4	0	0	0	0	1	0
20230327_0700_1400	103623	203624.0	1.0	178.0	0.7	39.1	38.6	21.3	2.7	25.0	6.9	0	0	0	0	1	0
20230327_0700_1400	103833	203834.0	1.0	189.0	0.5	15.7	14.7	25.8	-0.4	27.0	6.3	0	1	1	0	0	0
20230327_0700_1400	103854	203856.0	1.0	189.0	0.3	7.3	6.9	10.4	-0.1	14.0	6.6	0	1	1	0	0	0
20230327_0700_1400	103906	203907.0	1.0	189.0	0.2	14.5	14.1	38.4	-3.1	30.0	3.1	1	0	0	0	0	0
20230327_0700_1400	103945	203946.0	1.0	189.0	0.7	17.9	17.3	63.1	1.9	19.0	7.0	0	1	0	0	1	0
20230327_0700_1400	104308	204314.0	1.0	172.0	0.3	3.1	2.8	37.8	-5.1	27.0	4.5	1	0	0	0	0	0
20230327_0700_1400	104310	204315.0	1.0	172.0	0.7	2.8	1.9	2.4	-4.2	27.0	5.6	0	1	0	0	0	0
20230327_0700_1400	104310	204317.0	0.0	172.0	0.7	2.8	1.9	2.4	-4.2	27.0	8.5	0	1	0	0	0	0
