file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230327_1415_1900	101689	201690.0	350.0	0.3	17.4	17.1	22.5	2.7	64.0	7.5	0	1	0	0	1	0
20230327_1415_1900	101803	201806.0	350.0	0.3	4.8	4.6	1.5	-2.5	64.0	4.7	0	0	0	0	0	0
20230327_1415_1900	101804	201808.0	350.0	0.4	1.5	1.2	3.7	-1.0	64.0	4.4	0	0	0	0	0	0
20230327_1415_1900	101805	201812.0	350.0	0.4	8.3	8.0	3.5	0.5	70.0	6.7	0	1	0	0	1	0
20230327_1415_1900	101807	201816.0	350.0	0.3	3.7	3.3	5.2	2.7	70.0	7.0	0	0	0	0	1	0
20230327_1415_1900	101916	201928.0	350.0	0.6	3.9	3.3	2.1	-5.6	70.0	5.0	0	0	0	0	0	0
20230327_1415_1900	101917	201929.0	350.0	0.3	1.5	1.2	1.5	-4.9	70.0	4.4	1	0	0	0	0	0
20230327_1415_1900	101923	201929.0	350.0	0.2	1.5	1.2	1.7	-3.4	70.0	2.9	1	0	0	0	0	0
20230327_1415_1900	101920	201934.0	350.0	0.3	2.5	2.2	1.4	-4.2	70.0	5.9	0	1	0	0	0	0
20230327_1415_1900	101922	201933.0	350.0	0.3	2.1	1.5	3.5	-3.5	70.0	5.0	0	0	0	0	0	0
20230327_1415_1900	101924	201932.0	350.0	0.3	1.4	1.1	2.9	-2.8	70.0	3.2	0	1	0	0	0	0
20230327_1415_1900	101927	201936.0	350.0	0.4	1.7	1.5	4.7	-1.7	70.0	4.6	1	0	0	0	0	0
20230327_1415_1900	101930	201941.0	350.0	1.1	3.5	3.2	1.7	0.0	64.0	6.5	0	0	0	0	1	0
20230327_1415_1900	101931	201942.0	350.0	0.5	2.9	2.6	3.9	0.1	64.0	7.2	0	1	0	0	1	0
20230327_1415_1900	101937	201946.0	350.0	0.4	4.7	4.3	5.5	3.0	64.0	7.8	1	0	0	0	1	0
20230327_1415_1900	102036	202041.0	350.0	0.3	15.1	14.7	4.2	-3.7	64.0	4.6	0	1	0	0	0	0
20230327_1415_1900	102038	202042.0	350.0	0.4	7.7	7.3	10.1	-2.5	64.0	4.8	0	0	0	0	0	0
20230327_1415_1900	102039	202043.0	350.0	0.3	10.0	9.6	9.7	-1.2	64.0	5.4	1	0	0	0	0	0
20230327_1415_1900	102040	202044.0	350.0	0.3	4.2	3.9	6.6	0.5	54.0	6.1	0	1	0	0	1	0
20230327_1415_1900	102343	202344.0	329.0	0.3	7.0	6.7	9.8	0.1	45.0	5.2	0	1	0	0	1	0
20230327_1415_1900	102433	202437.0	329.0	0.5	8.1	7.6	28.8	-3.2	45.0	6.0	1	0	0	0	0	0
20230327_1415_1900	102624	202630.0	329.0	0.2	1.0	0.8	6.0	-4.2	45.0	3.7	1	0	0	0	0	1
20230327_1415_1900	102626	202631.0	329.0	0.4	3.3	2.9	5.9	-2.8	45.0	4.5	0	1	0	0	0	0
20230327_1415_1900	102632	202639.0	329.0	0.3	6.0	5.8	1.7	1.8	75.0	6.2	1	0	0	0	1	0
20230327_1415_1900	102633	202640.0	329.0	0.7	7.5	7.2	4.0	1.8	75.0	6.6	0	0	0	0	1	0
20230327_1415_1900	102634	202642.0	329.0	0.4	5.9	5.5	0.9	3.1	75.0	7.8	0	1	0	0	1	0
20230327_1415_1900	102753	202761.0	329.0	0.6	1.7	1.3	1.1	-5.9	75.0	3.2	0	1	0	0	0	0
20230327_1415_1900	102754	202764.0	329.0	0.5	3.2	2.8	1.5	-5.9	75.0	6.3	1	0	0	0	0	0
20230327_1415_1900	102757	202766.0	329.0	0.6	1.5	1.0	2.6	-4.4	75.0	6.3	1	0	0	0	0	1
20230327_1415_1900	102758	202765.0	329.0	0.9	3.6	3.1	9.3	-3.7	75.0	4.7	0	0	0	0	0	0
20230327_1415_1900	102762	202767.0	329.0	0.5	2.9	2.4	12.9	-1.9	75.0	4.0	0	1	0	0	0	0
20230327_1415_1900	102763	202770.0	329.0	0.4	2.6	2.0	4.7	-1.8	75.0	6.0	1	0	0	0	0	0
20230327_1415_1900	102768	202772.0	329.0	0.3	4.7	4.3	13.4	2.9	46.0	7.0	1	0	0	0	1	0
20230327_1415_1900	102851	202852.0	315.0	0.3	25.5	25.1	45.0	-0.2	46.0	5.3	1	0	1	0	0	0
20230327_1415_1900	102898	202900.0	315.0	0.3	9.3	8.9	5.7	-4.5	26.0	4.5	0	1	0	0	0	0
20230327_1415_1900	102899	202905.0	315.0	0.4	11.1	10.3	4.9	-1.0	26.0	7.4	0	0	0	0	0	0
20230327_1415_1900	102901	202906.0	315.0	0.4	5.7	5.4	4.3	1.2	57.0	7.2	0	1	0	0	1	0
20230327_1415_1900	102997	203001.0	315.0	0.2	5.9	5.7	3.8	-3.2	57.0	3.8	0	1	0	0	0	0
20230327_1415_1900	102998	203003.0	315.0	0.3	12.3	11.9	2.4	-1.2	57.0	3.5	0	0	0	0	0	0
20230327_1415_1900	102999	203004.0	315.0	0.2	7.7	7.5	4.9	-0.5	57.0	3.4	1	0	0	0	0	0
20230327_1415_1900	103000	203009.0	315.0	0.4	3.8	3.6	7.0	0.6	59.0	6.2	0	1	0	0	1	0
20230327_1415_1900	103002	203010.0	315.0	0.3	2.4	2.1	4.2	1.2	59.0	5.7	0	0	0	0	1	0
20230327_1415_1900	103126	203130.0	315.0	0.4	4.8	4.4	18.2	-4.0	59.0	5.0	0	1	0	0	0	0
20230327_1415_1900	103124	203129.0	315.0	0.2	2.1	1.8	12.3	-5.1	59.0	4.7	1	0	0	0	0	0
20230327_1415_1900	103251	203253.0	315.0	0.7	11.5	11.2	39.2	2.1	52.0	6.3	0	1	0	0	1	0
20230327_1415_1900	103346	203348.0	315.0	0.5	22.7	22.0	7.3	3.2	52.0	7.9	0	0	0	1	0	0
20230327_1415_1900	103438	203445.0	316.0	0.8	6.5	6.2	2.3	3.0	75.0	6.6	0	0	0	1	0	0
20230327_1415_1900	103559	203571.0	316.0	0.5	2.9	2.5	3.2	-6.0	75.0	6.0	1	0	0	0	0	0
20230327_1415_1900	103563	203572.0	316.0	0.5	6.5	5.1	2.0	-4.7	75.0	5.9	0	1	0	0	0	0
20230327_1415_1900	103566	203573.0	316.0	0.4	3.2	2.7	10.3	-2.8	75.0	5.8	1	0	0	0	0	0
20230327_1415_1900	103568	203575.0	316.0	0.5	2.0	1.5	2.6	-2.7	75.0	5.9	0	1	0	0	0	0
20230327_1415_1900	103570	203576.0	316.0	0.4	2.6	2.1	6.6	-0.1	75.0	5.6	0	1	1	0	0	0
20230327_1415_1900	103693	203702.0	316.0	0.4	4.9	4.5	2.8	-4.7	69.0	4.8	1	0	0	0	0	0
20230327_1415_1900	103697	203705.0	316.0	0.5	4.4	4.0	3.0	-3.1	69.0	6.1	0	0	0	0	0	0
20230327_1415_1900	103698	203703.0	316.0	0.3	4.8	4.5	14.6	-2.8	69.0	3.8	0	1	0	0	0	0
20230327_1415_1900	103699	203704.0	316.0	0.4	2.8	2.4	65.6	-1.9	69.0	3.9	1	0	0	0	0	0
20230327_1415_1900	103701	203706.0	316.0	0.5	3.0	2.5	65.5	-0.1	69.0	7.7	0	0	1	0	0	0
20230327_1415_1900	103848	203856.0	316.0	0.3	7.2	6.9	2.3	-4.8	43.0	4.1	0	1	0	0	0	0
20230327_1415_1900	103850	203859.0	316.0	0.2	2.3	2.0	0.7	-2.5	43.0	4.0	0	1	0	0	0	0
20230327_1415_1900	103851	203860.0	316.0	0.4	8.3	7.9	5.1	-2.5	43.0	4.3	1	0	0	0	0	0
20230327_1415_1900	103852	203862.0	316.0	0.7	1.1	0.5	1.1	-2.3	43.0	4.8	0	0	0	0	0	1
20230327_1415_1900	103854	203864.0	316.0	0.4	0.7	0.5	1.7	-1.8	43.0	4.6	0	1	0	0	0	1
20230327_1415_1900	103858	203869.0	316.0	0.3	1.7	1.3	2.2	-0.1	43.0	5.4	0	1	1	0	0	0
20230327_1415_1900	103863	203876.0	316.0	0.4	5.1	4.7	1.9	2.6	72.0	7.7	1	0	0	0	1	0
20230327_1415_1900	103990	203994.0	316.0	0.4	5.2	4.9	15.5	-4.7	72.0	5.1	1	0	0	0	0	0
20230327_1415_1900	103991	203995.0	316.0	0.3	3.2	3.0	4.2	-2.8	72.0	3.8	0	1	0	0	0	0
