file	adv	stop	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20230101_14	100914	200915.0	118.0	R	0.7	99.3	YY	0.3	10.0	9.6	22.9	22.6	0.7	11.0	7.5	92.5	RG	70.4	11.3	10.1	72.6	2.2	7.5	11.0	6.8
20230101_14	100948	200949.0	118.0	L	2.5	97.5	YY	1.0	43.9	43.1	10.0	9.0	2.5	14.0	9.7	90.3	RG	56.3	42.1	40.6	58.0	1.7	9.7	14.0	7.2
20230101_15	100061	200063.0	150.0	R	94.2	5.8	GG	0.4	8.2	7.2	37.7	37.3	-5.8	19.0	99.2	0.8	GY	1.0	3.3	2.1	20.0	19.0	-0.8	19.0	5.0
20230101_15	100126	200127.0	150.0	L	102.4	2.6	GG	0.4	26.9	25.5	18.1	17.7	-2.6	30.0	0.7	94.3	YY	0.7	28.2	27.0	23.6	22.9	0.7	21.0	3.3
20230101_15	100197	200198.0	150.0	R	1.2	98.8	YY	0.3	22.2	21.7	26.2	25.9	1.2	13.0	8.1	91.9	RG	56.3	21.7	20.3	56.8	0.5	8.1	13.0	6.9
20230101_15	100315	200317.0	134.0	R	102.5	1.3	GG	0.4	10.6	10.2	50.0	49.6	-1.3	16.0	3.2	112.9	YR	0.7	10.3	9.2	20.0	19.3	3.2	18.0	4.5
20230101_15	100316	200318.0	134.0	L	1.1	115.0	YY	0.6	14.7	14.2	66.4	65.8	1.1	18.0	6.7	109.4	RG	78.4	17.3	16.9	84.0	5.6	6.7	18.0	5.6
20230101_15	100345	200350.0	134.0	R	111.9	4.2	GG	0.4	45.3	44.7	15.2	14.8	-4.2	18.0	0.5	116.5	YY	0.9	27.5	25.8	7.5	6.6	0.5	15.0	4.7
20230101_15	100468	200471.0	134.0	R	111.6	5.4	GG	0.3	1.7	1.5	69.0	68.7	-5.4	24.0	116.5	0.5	GY	0.9	3.4	2.7	48.6	47.7	-0.5	24.0	4.9
20230101_15	100493	200494.0	134.0	M	107.9	4.2	GG	0.4	67.7	67.1	42.2	41.8	-4.2	12.0	0.5	99.5	YY	0.9	8.9	7.4	67.7	66.8	0.5	16.0	4.7
20230101_15	100571	200573.0	115.0	L	95.1	4.9	GG	0.5	114.5	113.9	27.6	27.1	-4.9	6.0	99.5	0.5	GY	0.9	114.2	113.3	39.4	38.5	-0.5	6.0	4.4
20230101_15	100574	200575.0	115.0	R	3.0	97.0	YY	0.5	10.3	10.0	46.9	46.4	3.0	11.0	12.0	88.0	RG	64.0	14.8	14.0	94.0	30.0	12.0	11.0	9.0
20230101_15	100617	200618.0	115.0	M	3.2	96.8	YY	0.3	28.4	27.8	24.6	24.3	3.2	20.0	10.5	89.5	RG	53.5	25.3	23.7	54.6	1.1	10.5	20.0	7.3
20230101_15	100651	200652.0	115.0	R	95.0	5.0	GG	0.3	41.2	40.4	37.9	37.6	-5.0	20.0	99.2	0.8	GY	0.8	26.7	25.2	39.5	38.7	-0.8	20.0	4.2
20230101_15	100696	200697.0	115.0	R	97.5	2.5	GG	0.4	12.5	12.0	52.4	52.0	-2.5	24.0	2.5	97.5	YY	0.9	6.2	4.7	54.9	54.0	2.5	18.0	5.0
20230101_15	100747	200748.0	135.0	R	96.6	3.4	GG	0.4	6.6	6.2	58.5	58.1	-3.4	8.0	1.5	98.5	YY	1.0	6.7	5.8	60.2	59.2	1.5	22.0	4.9
20230101_15	100785	200787.0	135.0	M	96.4	3.6	GG	0.4	18.6	18.3	26.2	25.8	-3.6	22.0	1.3	103.7	YY	1.0	30.7	29.2	30.1	29.1	1.3	21.0	4.9
20230101_15	100786	200788.0	135.0	R	97.3	2.7	GG	0.3	18.0	17.7	23.0	22.7	-2.7	22.0	2.5	102.5	YR	1.1	18.0	16.8	23.4	22.3	2.5	21.0	5.2
20230101_15	100907	200908.0	135.0	R	1.8	103.2	YY	0.4	39.8	39.2	13.7	13.3	1.8	21.0	10.4	94.6	RG	66.5	97.9	27.0	66.9	0.4	10.4	21.0	8.6
20230101_16	100064	200065.0	117.0	M	0.3	99.7	YY	0.3	32.0	31.8	66.3	66.0	0.3	13.0	5.7	94.3	RG	68.6	33.8	33.0	74.1	5.5	5.7	13.0	5.4
20230101_16	100170	200172.0	117.0	R	98.2	1.8	GG	0.4	23.2	22.8	65.3	64.9	-1.8	20.0	2.9	97.1	YR	0.9	23.1	22.2	64.8	63.9	2.9	13.0	4.7
20230101_16	100171	200173.0	117.0	M	2.9	97.1	YY	0.3	20.6	20.3	69.4	69.1	2.9	13.0	9.8	90.2	RG	52.2	23.3	22.4	66.6	14.4	9.8	13.0	6.9
20230101_16	100258	200259.0	133.0	M	0.7	99.3	YY	0.3	45.2	44.7	16.3	16.0	0.7	20.0	4.5	95.5	RR	0.7	38.0	35.9	20.7	20.0	4.5	20.0	3.8
20230101_16	100381	200382.0	133.0	R	97.7	2.3	GG	0.4	44.6	43.9	29.2	28.8	-2.3	13.0	2.8	97.2	YR	1.1	20.2	18.4	31.1	30.0	2.8	21.0	5.1
